Chromosome	Start	End	Strand	Feature	gene_id	UTR_id
chr1	4845017	4846735	+	3UTR	Lypla1	Lypla1:chr1:4845017:4846735:u1
chr1	4896365	4897909	+	3UTR	Tcea1	Tcea1:chr1:4896365:4897909:u1
chr1	5162166	5162549	+	3UTR	Atp6v1h	Atp6v1h:chr1:5162166:5162549:u1
chr1	5602785	5606133	+	3UTR	Oprk1	Oprk1:chr1:5602785:5606133:u1
chr1	6274276	6276104	+	3UTR	Rb1cc1	Rb1cc1:chr1:6274276:6276104:u1
chr1	6391105	6391116	+	3UTR	Alkal1	Alkal1:chr1:6391105:6391116:u1
chr1	6394270	6394731	+	3UTR	Alkal1	Alkal1:chr1:6394270:6394731:u2
chr1	6858601	6860940	+	3UTR	St18	St18:chr1:6858601:6860940:u1
chr1	7169883	7173628	+	3UTR	Pcmtd1	Pcmtd1:chr1:7169883:7173628:u1
chr1	9546622	9547455	+	3UTR	Rrs1	Rrs1:chr1:9546622:9547455:u1
chr1	9576275	9577970	+	3UTR	Adhfe1	Adhfe1:chr1:9576275:9577970:u1
chr1	9624897	9627142	+	3UTR	Vxn	Vxn:chr1:9624897:9627142:u1
chr1	9898891	9902568	+	3UTR	Sgk3	Sgk3:chr1:9898891:9902568:u1
chr1	9940545	9940954	+	3UTR	Mcmdc2	Mcmdc2:chr1:9940545:9940954:u1
chr1	10136146	10136768	+	3UTR	Cspp1	Cspp1:chr1:10136146:10136768:u1
chr1	11297754	11303682	+	3UTR	Prex2	Prex2:chr1:11297754:11303682:u1
chr1	11596335	11601821	+	3UTR	A830018L16Rik	A830018L16Rik:chr1:11596335:11601821:u1
chr1	11974967	11975902	+	3UTR	A830018L16Rik	A830018L16Rik:chr1:11974967:11975902:u2
chr1	12858843	12860372	+	3UTR	Sulf1	Sulf1:chr1:12858843:12860372:u1
chr1	13701384	13701723	+	3UTR	Xkr9	Xkr9:chr1:13701384:13701723:u1
chr1	15711630	15723750	+	3UTR	Kcnb2	Kcnb2:chr1:15711630:15723750:u1
chr1	15843083	15844052	+	3UTR	Terf1	Terf1:chr1:15843083:15844052:u1
chr1	16131418	16132550	+	3UTR	Rdh10	Rdh10:chr1:16131418:16132550:u1
chr1	16677426	16678275	+	3UTR	Tmem70	Tmem70:chr1:16677426:16678275:u1
chr1	16709538	16709605	+	3UTR	Ly96	Ly96:chr1:16709538:16709605:u1
chr1	17161510	17164270	+	3UTR	Gdap1	Gdap1:chr1:17161510:17164270:u1
chr1	17624971	17630939	+	3UTR	Pi15	Pi15:chr1:17624971:17630939:u1
chr1	17764115	17766344	+	3UTR	Crispld1	Crispld1:chr1:17764115:17766344:u1
chr1	19166179	19168587	+	3UTR	Tfap2d	Tfap2d:chr1:19166179:19168587:u1
chr1	19234348	19238845	+	3UTR	Tfap2b	Tfap2b:chr1:19234348:19238845:u1
chr1	20733860	20734496	+	3UTR	Il17a	Il17a:chr1:20733860:20734496:u1
chr1	20935689	20939650	+	3UTR	Paqr8	Paqr8:chr1:20935689:20939650:u1
chr1	20990689	20990841	+	3UTR	Efhc1	Efhc1:chr1:20990689:20990841:u1
chr1	21229586	21230167	+	3UTR	Tmem14a	Tmem14a:chr1:21229586:21230167:u1
chr1	21264963	21265575	+	3UTR	Gsta3	Gsta3:chr1:21264963:21265575:u1
chr1	21351094	21352199	+	3UTR	Khdc1a	Khdc1a:chr1:21351094:21352199:u1
chr1	21369728	21369743	+	3UTR	Khdc1c	Khdc1c:chr1:21369728:21369743:u1
chr1	21384900	21386384	+	3UTR	Khdc1b	Khdc1b:chr1:21384900:21386384:u1
chr1	23845188	23847858	+	3UTR	B3gat2	B3gat2:chr1:23845188:23847858:u1
chr1	24251862	24252738	+	3UTR	Col9a1	Col9a1:chr1:24251862:24252738:u1
chr1	24762737	24766301	+	3UTR	Lmbrd1	Lmbrd1:chr1:24762737:24766301:u1
chr1	31204531	31204725	+	3UTR	Lgsn	Lgsn:chr1:31204531:31204725:u1
chr1	31223596	31224287	+	3UTR	Pih1d3	Pih1d3:chr1:31223596:31224287:u1
chr1	32657542	32658569	+	3UTR	Khdrbs2	Khdrbs2:chr1:32657542:32658569:u1
chr1	33739393	33742564	+	3UTR	Rab23	Rab23:chr1:33739393:33742564:u1
chr1	34183037	34183903	+	3UTR	Dst	Dst:chr1:34183037:34183903:u1
chr1	34307593	34308662	+	3UTR	Dst	Dst:chr1:34307593:34308662:u2
chr1	34444471	34445747	+	3UTR	Imp4	Imp4:chr1:34444471:34445747:u1
chr1	34473647	34473779	+	3UTR	Ptpn18	Ptpn18:chr1:34473647:34473779:u1
chr1	34502948	34503062	+	3UTR	Prss39	Prss39:chr1:34502948:34503062:u1
chr1	34544138	34544311	+	3UTR	Cfc1	Cfc1:chr1:34544138:34544311:u1
chr1	34589025	34590944	+	3UTR	Amer3	Amer3:chr1:34589025:34590944:u1
chr1	34811830	34812738	+	3UTR	Arhgef4	Arhgef4:chr1:34811830:34812738:u1
chr1	34869492	34871557	+	3UTR	Plekhb2	Plekhb2:chr1:34869492:34871557:u1
chr1	34877048	34879585	+	3UTR	Plekhb2	Plekhb2:chr1:34877048:34879585:u2
chr1	36104222	36106446	+	3UTR	Hs6st1	Hs6st1:chr1:36104222:36106446:u1
chr1	36320204	36324029	+	3UTR	Arid5a	Arid5a:chr1:36320204:36324029:u1
chr1	36421910	36422110	+	3UTR	Fer1l5	Fer1l5:chr1:36421910:36422110:u1
chr1	36506607	36508776	+	3UTR	Cnnm4	Cnnm4:chr1:36506607:36508776:u1
chr1	36524084	36524132	+	3UTR	Cnnm3	Cnnm3:chr1:36524084:36524132:u1
chr1	36525166	36528236	+	3UTR	Cnnm3	Cnnm3:chr1:36525166:36528236:u2
chr1	36693310	36693388	+	3UTR	Cox5b	Cox5b:chr1:36693310:36693388:u1
chr1	36746495	36746571	+	3UTR	4933424G06Rik	4933424G06Rik:chr1:36746495:36746571:u1
chr1	36757790	36757959	+	3UTR	4933424G06Rik	4933424G06Rik:chr1:36757790:36757959:u2
chr1	36782585	36782820	+	3UTR	Zap70	Zap70:chr1:36782585:36782820:u1
chr1	37141312	37141335	+	3UTR	Vwa3b	Vwa3b:chr1:37141312:37141335:u1
chr1	37186971	37187607	+	3UTR	Vwa3b	Vwa3b:chr1:37186971:37187607:u2
chr1	37262097	37263384	+	3UTR	Cnga3	Cnga3:chr1:37262097:37263384:u1
chr1	37403630	37404442	+	3UTR	Inpp4a	Inpp4a:chr1:37403630:37404442:u1
chr1	37408260	37410740	+	3UTR	Inpp4a	Inpp4a:chr1:37408260:37410740:u2
chr1	37438819	37438986	+	3UTR	Unc50	Unc50:chr1:37438819:37438986:u1
chr1	37875987	37876298	+	3UTR	Lipt1	Lipt1:chr1:37875987:37876298:u1
chr1	37898265	37898338	+	3UTR	Mrpl30	Mrpl30:chr1:37898265:37898338:u1
chr1	38051714	38055579	+	3UTR	Eif5b	Eif5b:chr1:38051714:38055579:u1
chr1	38948668	38948675	+	3UTR	Nms	Nms:chr1:38948668:38948675:u1
chr1	38949883	38950276	+	3UTR	Nms	Nms:chr1:38949883:38950276:u2
chr1	38996284	38997236	+	3UTR	Pdcl3	Pdcl3:chr1:38996284:38997236:u1
chr1	39362008	39363240	+	3UTR	Npas2	Npas2:chr1:39362008:39363240:u1
chr1	39371334	39371910	+	3UTR	Rpl31	Rpl31:chr1:39371334:39371910:u1
chr1	39545267	39546877	+	3UTR	Cnot11	Cnot11:chr1:39545267:39546877:u1
chr1	40024713	40026310	+	3UTR	Map4k4	Map4k4:chr1:40024713:40026310:u1
chr1	40125208	40125230	+	3UTR	Il1r2	Il1r2:chr1:40125208:40125230:u1
chr1	40313394	40316177	+	3UTR	Il1r1	Il1r1:chr1:40313394:40316177:u1
chr1	40365446	40367553	+	3UTR	Il1rl2	Il1rl2:chr1:40365446:40367553:u1
chr1	40446705	40448411	+	3UTR	Il1rl1	Il1rl1:chr1:40446705:40448411:u1
chr1	40462170	40465414	+	3UTR	Il1rl1	Il1rl1:chr1:40462170:40465414:u2
chr1	40491234	40491580	+	3UTR	Il18r1	Il18r1:chr1:40491234:40491580:u1
chr1	40498691	40500854	+	3UTR	Il18r1	Il18r1:chr1:40498691:40500854:u2
chr1	40549089	40551705	+	3UTR	Il18rap	Il18rap:chr1:40549089:40551705:u1
chr1	40629593	40630731	+	3UTR	Slc9a4	Slc9a4:chr1:40629593:40630731:u1
chr1	40768000	40768885	+	3UTR	Slc9a2	Slc9a2:chr1:40768000:40768885:u1
