seqnames	start	end	width	strand	gene_name	count
chr1	4142612	4142766	155	-	Rp1	Rp1:SE01
chr1	4147812	4147963	152	-	Rp1	Rp1:SE02
chr1	4148612	4148744	133	-	Rp1	Rp1:SE03
chr1	4163855	4163941	87	-	Rp1	Rp1:SE04
chr1	4170205	4170404	200	-	Rp1	Rp1:SE05
chr1	4197534	4197641	108	-	Rp1	Rp1:SE06
chr1	4206660	4206837	178	-	Rp1	Rp1:SE07
chr1	4226611	4226823	213	-	Rp1	Rp1:SE08
chr1	4228443	4228619	177	-	Rp1	Rp1:SE09
chr1	4231053	4231144	92	-	Rp1	Rp1:SE10
chr1	4243133	4243262	130	-	Rp1	Rp1:SE11
chr1	4243417	4243448	32	-	Rp1	Rp1:SE12
chr1	4243543	4243619	77	-	Rp1	Rp1:SE13
chr1	4245031	4245106	76	-	Rp1	Rp1:SE14
chr1	4261527	4261605	79	-	Rp1	Rp1:SE15
chr1	4267469	4267620	152	-	Rp1	Rp1:SE16
chr1	4284766	4284898	133	-	Rp1	Rp1:SE17
chr1	4311270	4311433	164	-	Rp1	Rp1:SE18
chr1	4783951	4784105	155	-	Mrpl15	Mrpl15:SE01
chr1	4839387	4839488	102	+	Lypla1	Lypla1:SE01
chr1	5020738	5021037	300	-	Rgs20	Rgs20:SE01
chr1	5101070	5101123	54	+	Atp6v1h	Atp6v1h:SE01
chr1	6487618	6487741	124	+	St18	St18:SE01
chr1	6737580	6737657	78	+	St18	St18:SE02
chr1	6752296	6752368	73	+	St18	St18:SE03
chr1	8595412	8595542	131	-	Sntg1	Sntg1:SE01
chr1	8607070	8607152	83	-	Sntg1	Sntg1:SE02
chr1	8882161	8882214	54	-	Sntg1	Sntg1:SE03
chr1	9548440	9548616	177	+	Adhfe1	Adhfe1:SE01
chr1	9551717	9551757	41	+	Adhfe1	Adhfe1:SE02
chr1	9552923	9552976	54	+	Adhfe1	Adhfe1:SE03
chr1	9671579	9671758	180	-	Mybl1	Mybl1:SE01
chr1	9827013	9827119	107	+	Sgk3	Sgk3:SE01
chr1	9976587	9976746	160	-	Ppp1r42	Ppp1r42:SE01
chr1	9978816	9978947	132	-	Ppp1r42	Ppp1r42:SE02
chr1	10045076	10045184	109	+	Cspp1	Cspp1:SE01
chr1	10059824	10059847	24	+	Cspp1	Cspp1:SE02
chr1	10104212	10104364	153	+	Cspp1	Cspp1:SE03
chr1	10488825	10488949	125	-	Cpa6	Cpa6:SE01
chr1	11061326	11061397	72	+	Prex2	Prex2:SE01
chr1	11065794	11065916	123	+	Prex2	Prex2:SE02
chr1	11068011	11068115	105	+	Prex2	Prex2:SE03
chr1	11080023	11080124	102	+	Prex2	Prex2:SE04
chr1	11089717	11089878	162	+	Prex2	Prex2:SE05
chr1	11098463	11098596	134	+	Prex2	Prex2:SE06
chr1	11101064	11101167	104	+	Prex2	Prex2:SE07
chr1	11107603	11107752	150	+	Prex2	Prex2:SE08
chr1	11110282	11110426	145	+	Prex2	Prex2:SE09
chr1	11112743	11112843	101	+	Prex2	Prex2:SE10
chr1	11123121	11123224	104	+	Prex2	Prex2:SE11
chr1	11123814	11123863	50	+	Prex2	Prex2:SE12
chr1	11132338	11132413	76	+	Prex2	Prex2:SE13
chr1	11136765	11136837	73	+	Prex2	Prex2:SE14
chr1	11139956	11140098	143	+	Prex2	Prex2:SE15
chr1	11140236	11140328	93	+	Prex2	Prex2:SE16
chr1	11142649	11142797	149	+	Prex2	Prex2:SE17
chr1	11149810	11149895	86	+	Prex2	Prex2:SE18
chr1	11153543	11153679	137	+	Prex2	Prex2:SE19
chr1	11156241	11156358	118	+	Prex2	Prex2:SE20
chr1	11160096	11160280	185	+	Prex2	Prex2:SE21
chr1	11162240	11162401	162	+	Prex2	Prex2:SE22
chr1	11169853	11170075	223	+	Prex2	Prex2:SE23
chr1	11170584	11170791	208	+	Prex2	Prex2:SE24
chr1	11181855	11182034	180	+	Prex2	Prex2:SE25
chr1	11184446	11184540	95	+	Prex2	Prex2:SE26
chr1	11185130	11185212	83	+	Prex2	Prex2:SE27
chr1	11185887	11185977	91	+	Prex2	Prex2:SE28
chr1	11186637	11186765	129	+	Prex2	Prex2:SE29
chr1	11193513	11193554	42	+	Prex2	Prex2:SE30
chr1	11199835	11200052	218	+	Prex2	Prex2:SE31
chr1	11204066	11204168	103	+	Prex2	Prex2:SE32
chr1	11208512	11208655	144	+	Prex2	Prex2:SE33
chr1	11231682	11231796	115	+	Prex2	Prex2:SE34
chr1	11511918	11512065	148	+	A830018L16Rik	A830018L16Rik:SE01
chr1	11798481	11798566	86	+	A830018L16Rik	A830018L16Rik:SE02
chr1	11829815	11829891	77	+	A830018L16Rik	A830018L16Rik:SE03
chr1	11933544	11933591	48	+	A830018L16Rik	A830018L16Rik:SE04
chr1	11950963	11951056	94	+	A830018L16Rik	A830018L16Rik:SE05
chr1	11972046	11972102	57	+	A830018L16Rik	A830018L16Rik:SE06
chr1	12728594	12728688	95	+	Sulf1	Sulf1:SE01
chr1	13164896	13165102	207	-	Ncoa2	Ncoa2:SE01
chr1	14302770	14302897	128	-	Eya1	Eya1:SE01
chr1	14885750	14885839	90	-	Trpa1	Trpa1:SE01
chr1	15815886	15815972	87	+	Terf1	Terf1:SE01
chr1	15833401	15833489	89	+	Terf1	Terf1:SE02
chr1	16081668	16082510	843	-	4930444P10Rik	4930444P10Rik:SE01
chr1	16231003	16231091	89	-	Stau2	Stau2:SE01
chr1	16486020	16486150	131	-	Stau2	Stau2:SE02
chr1	16516882	16516935	54	-	Stau2	Stau2:SE03
chr1	16518385	16518421	37	-	Stau2	Stau2:SE04
chr1	16543949	16544032	84	-	Ube2w	Ube2w:SE01
chr1	16597951	16598053	103	-	Ube2w	Ube2w:SE02
chr1	16646988	16647053	66	-	Eloc	Eloc:SE01
chr1	18141416	18141532	117	-	Crisp4	Crisp4:SE01
chr1	21244938	21245032	95	+	Gsta3	Gsta3:SE01
chr1	21254684	21254823	140	+	Gsta3	Gsta3:SE02
chr1	21461551	21461607	57	-	Kcnq5	Kcnq5:SE01
chr1	21466383	21466409	27	-	Kcnq5	Kcnq5:SE02
chr1	22398599	22398781	183	-	Rims1	Rims1:SE01
chr1	22412211	22412294	84	-	Rims1	Rims1:SE02
chr1	22425871	22425933	63	-	Rims1	Rims1:SE03
chr1	23871438	23871518	81	-	Smap1	Smap1:SE01
chr1	24178259	24178332	74	+	Col9a1	Col9a1:SE01
chr1	24179284	24179361	78	+	Col9a1	Col9a1:SE02
chr1	24179475	24179607	133	+	Col9a1	Col9a1:SE03
chr1	24185038	24185434	397	+	Col9a1	Col9a1:SE04
chr1	24194683	24194766	84	+	Col9a1	Col9a1:SE05
