seqnames	start	end	width	strand	gene_name	count
chr1	3073253	3073253	1	+	4933401J01Rik	4933401J01Rik:P01
chr1	3102016	3102016	1	+	Gm26206	Gm26206:P01
chr1	3252757	3252757	1	+	Gm18956	Gm18956:P01
chr1	3466587	3466587	1	+	Gm1992	Gm1992:P01
chr1	3531795	3531795	1	+	Gm7341	Gm7341:P01
chr1	3680155	3680155	1	+	Gm10568	Gm10568:P01
chr1	3752010	3752010	1	+	Gm38385	Gm38385:P01
chr1	4496551	4496551	1	+	Gm37587	Gm37587:P01
chr1	4497474	4497474	1	+	Gm37587	Gm37587:P02
chr1	4522905	4522905	1	+	Gm7357	Gm7357:P01
chr1	4529017	4529017	1	+	Gm22307	Gm22307:P01
chr1	4610471	4610471	1	+	Gm7369	Gm7369:P01
chr1	4771131	4771131	1	+	Gm6123	Gm6123:P01
chr1	4807788	4807830	43	+	Lypla1	Lypla1:P01
chr1	4807892	4807911	20	+	Gm37988	Gm37988:P01
chr1	4808237	4808237	1	+	Lypla1	Lypla1:P02
chr1	4836905	4836905	1	+	Lypla1	Lypla1:P03
chr1	4857694	4857694	1	+	Tcea1	Tcea1:P01
chr1	4857814	4857814	1	+	Tcea1	Tcea1:P02
chr1	4858038	4858038	1	+	Tcea1	Tcea1:P03
chr1	4858328	4858328	1	+	Tcea1	Tcea1:P04
chr1	4970857	4970857	1	+	Gm16041	Gm16041:P01
chr1	5063060	5063060	1	+	Gm17101	Gm17101:P01
chr1	5070018	5070018	1	+	Atp6v1h	Atp6v1h:P01
chr1	5083080	5083164	85	+	Atp6v1h	Atp6v1h:P02
chr1	5307739	5307739	1	+	Gm37567	Gm37567:P01
chr1	5403547	5403547	1	+	Gm38264	Gm38264:P01
chr1	5588466	5588493	28	+	Oprk1	Oprk1:P01
chr1	5588557	5588557	1	+	Oprk1	Oprk1:P02
chr1	5588941	5588941	1	+	Oprk1	Oprk1:P03
chr1	5596518	5596518	1	+	Oprk1	Oprk1:P04
chr1	6206197	6206227	31	+	Rb1cc1	Rb1cc1:P01
chr1	6214645	6214663	19	+	Rb1cc1	Rb1cc1:P02
chr1	6215008	6215008	1	+	Rb1cc1	Rb1cc1:P03
chr1	6228002	6228002	1	+	Rb1cc1	Rb1cc1:P04
chr1	6234279	6234279	1	+	Rb1cc1	Rb1cc1:P05
chr1	6240970	6240970	1	+	Rb1cc1	Rb1cc1:P06
chr1	6249088	6249088	1	+	Rb1cc1	Rb1cc1:P07
chr1	6249977	6249977	1	+	Rb1cc1	Rb1cc1:P08
chr1	6250095	6250095	1	+	Rb1cc1	Rb1cc1:P09
chr1	6260785	6260785	1	+	Rb1cc1	Rb1cc1:P10
chr1	6262903	6262933	31	+	Rb1cc1	Rb1cc1:P11
chr1	6265606	6265606	1	+	Rb1cc1	Rb1cc1:P12
chr1	6270678	6270678	1	+	Rb1cc1	Rb1cc1:P13
chr1	6359218	6359218	1	+	Alkal1	Alkal1:P01
