seqnames	start	end	width	strand	value.group	value.group_name	count
chr1	3073253	3073253	1	+	1753	4933401J01Rik	4933401J01Rik:P01
chr1	3102016	3102016	1	+	21201	Gm26206	Gm26206:P01
chr1	3252757	3252757	1	+	15961	Gm18956	Gm18956:P01
chr1	3466587	3466587	1	+	16342	Gm1992	Gm1992:P01
chr1	3531795	3531795	1	+	35826	Gm7341	Gm7341:P01
chr1	3680155	3680155	1	+	10111	Gm10568	Gm10568:P01
chr1	3752010	3752010	1	+	26862	Gm38385	Gm38385:P01
chr1	4496551	4496551	1	+	26075	Gm37587	Gm37587:P01
chr1	4497474	4497474	1	+	26075	Gm37587	Gm37587:P02
chr1	4522905	4522905	1	+	35836	Gm7357	Gm7357:P01
chr1	4529017	4529017	1	+	17672	Gm22307	Gm22307:P01
chr1	4610471	4610471	1	+	35845	Gm7369	Gm7369:P01
chr1	4771131	4771131	1	+	35125	Gm6123	Gm6123:P01
chr1	4807788	4807830	43	+	40628	Lypla1	Lypla1:P01
chr1	4807892	4807892	1	+	26473	Gm37988	Gm37988:P01
chr1	4807896	4807911	16	+	40628	Lypla1	Lypla1:P02
chr1	4808237	4808237	1	+	40628	Lypla1	Lypla1:P03
chr1	4836905	4836905	1	+	40628	Lypla1	Lypla1:P04
chr1	4857814	4857814	1	+	51383	Tcea1	Tcea1:P01
chr1	4858038	4858038	1	+	51383	Tcea1	Tcea1:P02
chr1	4970857	4970857	1	+	14414	Gm16041	Gm16041:P01
chr1	5063060	5063060	1	+	14949	Gm17101	Gm17101:P01
chr1	5070018	5070018	1	+	4176	Atp6v1h	Atp6v1h:P01
chr1	5083080	5083164	85	+	4176	Atp6v1h	Atp6v1h:P02
chr1	5307739	5307739	1	+	26054	Gm37567	Gm37567:P01
chr1	5403547	5403547	1	+	26742	Gm38264	Gm38264:P01
chr1	5588466	5588493	28	+	45606	Oprk1	Oprk1:P01
chr1	5588557	5588557	1	+	45606	Oprk1	Oprk1:P02
chr1	5588941	5588941	1	+	45606	Oprk1	Oprk1:P03
chr1	5596518	5596518	1	+	45606	Oprk1	Oprk1:P04
chr1	6206197	6206227	31	+	47720	Rb1cc1	Rb1cc1:P01
chr1	6214645	6214663	19	+	47720	Rb1cc1	Rb1cc1:P02
chr1	6215008	6215008	1	+	47720	Rb1cc1	Rb1cc1:P03
chr1	6228002	6228002	1	+	47720	Rb1cc1	Rb1cc1:P04
chr1	6234279	6234279	1	+	47720	Rb1cc1	Rb1cc1:P05
chr1	6240970	6240970	1	+	47720	Rb1cc1	Rb1cc1:P06
chr1	6249088	6249088	1	+	47720	Rb1cc1	Rb1cc1:P07
chr1	6249977	6249977	1	+	47720	Rb1cc1	Rb1cc1:P08
chr1	6250095	6250095	1	+	47720	Rb1cc1	Rb1cc1:P09
chr1	6260785	6260785	1	+	47720	Rb1cc1	Rb1cc1:P10
chr1	6262903	6262933	31	+	47720	Rb1cc1	Rb1cc1:P11
chr1	6265606	6265606	1	+	47720	Rb1cc1	Rb1cc1:P12
chr1	6270678	6270678	1	+	47720	Rb1cc1	Rb1cc1:P13
chr1	6359218	6359218	1	+	3418	Alkal1	Alkal1:P01
chr1	6380394	6380394	1	+	17092	Gm2147	Gm2147:P01
chr1	6487231	6487231	1	+	50822	St18	St18:P01
chr1	6487331	6487331	1	+	50822	St18	St18:P02
chr1	6730051	6730102	52	+	50822	St18	St18:P03
chr1	6734870	6734870	1	+	50822	St18	St18:P04
chr1	6737575	6737575	1	+	50822	St18	St18:P05
chr1	6802791	6802791	1	+	50822	St18	St18:P06
chr1	6817600	6817600	1	+	50822	St18	St18:P07
chr1	6827897	6827897	1	+	50822	St18	St18:P08
chr1	6857341	6857341	1	+	50822	St18	St18:P09
chr1	6910560	6910560	1	+	35899	Gm7449	Gm7449:P01
chr1	6916559	6916559	1	+	25607	Gm37108	Gm37108:P01
chr1	6929759	6929759	1	+	25775	Gm37275	Gm37275:P01
chr1	6998217	6998217	1	+	25724	Gm37225	Gm37225:P01
chr1	7013762	7013762	1	+	25979	Gm37489	Gm37489:P01
chr1	7035915	7035915	1	+	34824	Gm5694	Gm5694:P01
chr1	7088920	7088930	11	+	45980	Pcmtd1	Pcmtd1:P01
chr1	7089104	7089104	1	+	45980	Pcmtd1	Pcmtd1:P02
chr1	7089166	7089166	1	+	45980	Pcmtd1	Pcmtd1:P03
chr1	7147637	7147637	1	+	45980	Pcmtd1	Pcmtd1:P04
chr1	7148110	7148110	1	+	26849	Gm38372	Gm38372:P01
chr1	7154867	7154867	1	+	45980	Pcmtd1	Pcmtd1:P05
chr1	7160085	7160085	1	+	45980	Pcmtd1	Pcmtd1:P06
chr1	7160557	7160557	1	+	45980	Pcmtd1	Pcmtd1:P07
chr1	7177739	7177739	1	+	37311	Gm9826	Gm9826:P01
chr1	7265803	7265803	1	+	18551	Gm23274	Gm23274:P01
chr1	7315451	7315451	1	+	15999	Gm19002	Gm19002:P01
chr1	7410679	7410679	1	+	15984	Gm18984	Gm18984:P01
chr1	7497968	7497968	1	+	24095	Gm30414	Gm30414:P01
chr1	7591646	7591646	1	+	26276	Gm37791	Gm37791:P01
chr1	7597379	7597379	1	+	35912	Gm7470	Gm7470:P01
chr1	7664081	7664081	1	+	48651	Rps2-ps2	Rps2-ps2:P01
chr1	8815842	8815842	1	+	25464	Gm36964	Gm36964:P01
chr1	8816138	8816138	1	+	19452	Gm24276	Gm24276:P01
chr1	8856763	8856763	1	+	35896	Gm7445	Gm7445:P01
chr1	9286922	9286922	1	+	25644	Gm37143	Gm37143:P01
chr1	9450579	9450579	1	+	35940	Gm7512	Gm7512:P01
chr1	9458670	9458670	1	+	19895	Gm24765	Gm24765:P01
chr1	9545408	9545408	1	+	48760	Rrs1	Rrs1:P01
chr1	9547948	9547948	1	+	3110	Adhfe1	Adhfe1:P01
chr1	9548055	9548119	65	+	3110	Adhfe1	Adhfe1:P02
chr1	9574548	9574548	1	+	35149	Gm6161	Gm6161:P01
chr1	9601199	9601199	1	+	54110	Vxn	Vxn:P01
chr1	9747648	9747648	1	+	353	1700034P13Rik	1700034P13Rik:P01
chr1	9747956	9747956	1	+	353	1700034P13Rik	1700034P13Rik:P02
chr1	9748481	9748481	1	+	353	1700034P13Rik	1700034P13Rik:P03
chr1	9748587	9748626	40	+	353	1700034P13Rik	1700034P13Rik:P04
chr1	9783778	9783778	1	+	353	1700034P13Rik	1700034P13Rik:P05
chr1	9798107	9798208	102	+	49430	Sgk3	Sgk3:P01
