seqnames	start	end	width	strand	value.group	value.group_name	count
chr1	4807823	4807823	1	+	12320	Lypla1	Lypla1:P01
chr1	4857694	4857694	1	+	21859	Tcea1	Tcea1:P01
chr1	4858328	4858328	1	+	21859	Tcea1	Tcea1:P02
chr1	5083086	5083086	1	+	2966	Atp6v1h	Atp6v1h:P01
chr1	5588493	5588493	1	+	16671	Oprk1	Oprk1:P01
chr1	6214662	6214662	1	+	18710	Rb1cc1	Rb1cc1:P01
chr1	6359331	6359331	1	+	2250	Alkal1	Alkal1:P01
chr1	6487231	6487231	1	+	21315	St18	St18:P01
chr1	6730051	6730051	1	+	21315	St18	St18:P02
chr1	7088920	7088920	1	+	17040	Pcmtd1	Pcmtd1:P01
chr1	9545408	9545408	1	+	19391	Rrs1	Rrs1:P01
chr1	9547948	9547948	1	+	1997	Adhfe1	Adhfe1:P01
chr1	9601267	9601267	1	+	23960	Vxn	Vxn:P01
chr1	9747648	9747648	1	+	246	1700034P13Rik	1700034P13Rik:P01
chr1	9798130	9798130	1	+	19995	Sgk3	Sgk3:P01
chr1	9848281	9848281	1	+	19995	Sgk3	Sgk3:P02
chr1	9908638	9908638	1	+	12622	Mcmdc2	Mcmdc2:P01
chr1	10038218	10038218	1	+	5326	Cspp1	Cspp1:P01
chr1	10046493	10046493	1	+	5326	Cspp1	Cspp1:P02
chr1	10993465	10993465	1	+	18006	Prex2	Prex2:P01
chr1	11263963	11263963	1	+	18006	Prex2	Prex2:P02
chr1	11414105	11414105	1	+	1565	A830018L16Rik	A830018L16Rik:P01
chr1	12425986	12425986	1	+	13509	Mir6341	Mir6341:P01
chr1	12667563	12667563	1	+	8683	Gm17644	Gm17644:P01
chr1	12692430	12692430	1	+	21491	Sulf1	Sulf1:P01
chr1	12718545	12718545	1	+	21491	Sulf1	Sulf1:P02
chr1	13668771	13668771	1	+	24149	Xkr9	Xkr9:P01
chr1	15286925	15286925	1	+	11246	Kcnb2	Kcnb2:P01
chr1	15805646	15805646	1	+	21985	Terf1	Terf1:P01
chr1	16105882	16105882	1	+	18811	Rdh10	Rdh10:P01
chr1	16657552	16657552	1	+	5638	D030040B21Rik	D030040B21Rik:P01
chr1	16665191	16665191	1	+	22497	Tmem70	Tmem70:P01
chr1	16688456	16688456	1	+	12302	Ly96	Ly96:P01
chr1	17145373	17145373	1	+	7984	Gdap1	Gdap1:P01
chr1	17601901	17601901	1	+	17336	Pi15	Pi15:P01
chr1	17727045	17727045	1	+	5237	Crispld1	Crispld1:P01
chr1	17727417	17727417	1	+	5237	Crispld1	Crispld1:P02
chr1	19103022	19103022	1	+	22040	Tfap2d	Tfap2d:P01
chr1	19208914	19208914	1	+	22038	Tfap2b	Tfap2b:P01
chr1	19212054	19212054	1	+	22038	Tfap2b	Tfap2b:P02
chr1	20356454	20356454	1	+	858	4930486I03Rik	4930486I03Rik:P01
chr1	20669882	20669882	1	+	11965	Lincmd1	Lincmd1:P01
chr1	20679010	20679010	1	+	13090	Mir206	Mir206:P01
chr1	20682769	20682769	1	+	12945	Mir133b	Mir133b:P01
chr1	20730905	20730905	1	+	10828	Il17a	Il17a:P01
chr1	20890548	20890548	1	+	16868	Paqr8	Paqr8:P01
chr1	20917840	20917840	1	+	16868	Paqr8	Paqr8:P02
chr1	20951626	20951626	1	+	6586	Efhc1	Efhc1:P01
chr1	21218575	21218575	1	+	22328	Tmem14a	Tmem14a:P01
chr1	21240585	21240585	1	+	9921	Gsta3	Gsta3:P01
chr1	21349677	21349677	1	+	11383	Khdc1a	Khdc1a:P01
chr1	21368331	21368331	1	+	11385	Khdc1c	Khdc1c:P01
chr1	21383556	21383556	1	+	11384	Khdc1b	Khdc1b:P01
chr1	22898387	22898387	1	+	9481	Gm7759	Gm7759:P01
chr1	23272269	23272269	1	+	13211	Mir30a	Mir30a:P01
chr1	23291701	23291701	1	+	13214	Mir30c-2	Mir30c-2:P01
chr1	23574587	23574587	1	+	8896	Gm28822	Gm28822:P01
chr1	23761926	23761926	1	+	3106	B3gat2	B3gat2:P01
chr1	24177610	24177610	1	+	5047	Col9a1	Col9a1:P01
chr1	24195203	24195203	1	+	5047	Col9a1	Col9a1:P02
chr1	24678544	24678544	1	+	12002	Lmbrd1	Lmbrd1:P01
chr1	24678918	24678918	1	+	12002	Lmbrd1	Lmbrd1:P02
chr1	27884046	27884046	1	+	9327	Gm5524	Gm5524:P01
chr1	29421488	29421488	1	+	13510	Mir6342	Mir6342:P01
chr1	30949871	30949871	1	+	12064	LOC115487084	LOC115487084:P01
chr1	31176435	31176435	1	+	11917	Lgsn	Lgsn:P01
chr1	31222839	31222839	1	+	17381	Pih1d3	Pih1d3:P01
chr1	31264847	31264847	1	+	9200	Gm4850	Gm4850:P01
chr1	32172722	32172722	1	+	11389	Khdrbs2	Khdrbs2:P01
chr1	33669824	33669824	1	+	73	1700001G17Rik	1700001G17Rik:P01
chr1	33719896	33719896	1	+	18517	Rab23	Rab23:P01
chr1	33720419	33720419	1	+	18517	Rab23	Rab23:P02
chr1	33908225	33908225	1	+	6347	Dst	Dst:P01
chr1	34011595	34011595	1	+	6347	Dst	Dst:P02
chr1	34117359	34117359	1	+	13658	Mir6896	Mir6896:P01
chr1	34160260	34160260	1	+	6347	Dst	Dst:P03
chr1	34439829	34439829	1	+	10909	Imp4	Imp4:P01
chr1	34459746	34459746	1	+	18381	Ptpn18	Ptpn18:P01
chr1	34498412	34498412	1	+	18203	Prss39	Prss39:P01
chr1	34535648	34535648	1	+	4572	Cfc1	Cfc1:P01
chr1	34579693	34579693	1	+	2296	Amer3	Amer3:P01
chr1	34678182	34678182	1	+	2663	Arhgef4	Arhgef4:P01
chr1	34801741	34801741	1	+	2663	Arhgef4	Arhgef4:P02
chr1	34849959	34849989	31	+	17567	Plekhb2	Plekhb2:P01
chr1	36068400	36068400	1	+	10532	Hs6st1	Hs6st1:P01
chr1	36307733	36307733	1	+	2677	Arid5a	Arid5a:P01
chr1	36372190	36372190	1	+	7456	Fer1l5	Fer1l5:P01
chr1	36471597	36471597	1	+	4946	Cnnm4	Cnnm4:P01
chr1	36511867	36511867	1	+	4945	Cnnm3	Cnnm3:P01
chr1	36691487	36691487	1	+	5122	Cox5b	Cox5b:P01
chr1	36714537	36714537	1	+	1189	4933424G06Rik	4933424G06Rik:P01
chr1	36761798	36761798	1	+	24237	Zap70	Zap70:P01
chr1	36764515	36764515	1	+	24237	Zap70	Zap70:P02
chr1	36766934	36766934	1	+	24237	Zap70	Zap70:P03
chr1	36778984	36778984	1	+	24237	Zap70	Zap70:P04
chr1	37029313	37029313	1	+	23949	Vwa3b	Vwa3b:P01
chr1	37218278	37218278	1	+	4928	Cnga3	Cnga3:P01
chr1	37219205	37219205	1	+	4928	Cnga3	Cnga3:P02
chr1	37299838	37299838	1	+	10946	Inpp4a	Inpp4a:P01
chr1	37299896	37299896	1	+	10946	Inpp4a	Inpp4a:P02
chr1	37369217	37369217	1	+	10946	Inpp4a	Inpp4a:P03
chr1	37430139	37430139	1	+	23358	Unc50	Unc50:P01
chr1	37872206	37872206	1	+	11986	Lipt1	Lipt1:P01
chr1	37890477	37890477	1	+	14300	Mrpl30	Mrpl30:P01
chr1	37998010	37998010	1	+	6688	Eif5b	Eif5b:P01
chr1	38132083	38132083	1	+	9239	Gm5099	Gm5099:P01
chr1	38939149	38939149	1	+	15096	Nms	Nms:P01
chr1	38987814	38987814	1	+	17086	Pdcl3	Pdcl3:P01
chr1	39194272	39194272	1	+	15159	Npas2	Npas2:P01
chr1	39367851	39367851	1	+	19261	Rpl31	Rpl31:P01
chr1	39535701	39535701	1	+	4949	Cnot11	Cnot11:P01
chr1	39900913	39900913	1	+	12483	Map4k4	Map4k4:P01
chr1	40084714	40084714	1	+	10852	Il1r2	Il1r2:P01
chr1	40086093	40086093	1	+	10852	Il1r2	Il1r2:P02
chr1	40225080	40225080	1	+	10851	Il1r1	Il1r1:P01
chr1	40266586	40266586	1	+	10851	Il1r1	Il1r1:P02
chr1	40324589	40324589	1	+	10857	Il1rl2	Il1rl2:P01
chr1	40429570	40429570	1	+	10856	Il1rl1	Il1rl1:P01
chr1	40439629	40439629	1	+	10856	Il1rl1	Il1rl1:P02
chr1	40465552	40465552	1	+	10840	Il18r1	Il18r1:P01
chr1	40465621	40465621	1	+	10840	Il18r1	Il18r1:P02
chr1	40466006	40466006	1	+	10840	Il18r1	Il18r1:P03
chr1	40515362	40515362	1	+	10841	Il18rap	Il18rap:P01
