seqnames	start	end	width	strand	gene_name	count
chr1	12975	13052	78	+	DDX11L1	DDX11L1:SE01
chr1	58700	58856	157	+	OR4G11P	OR4G11P:SE01
chr1	783111	783363	253	+	LINC01409	LINC01409:SE01
chr1	792882	793041	160	+	LINC01409	LINC01409:SE02
chr1	803567	803667	101	+	LINC01409	LINC01409:SE03
chr1	847654	847806	153	+	LINC01128	LINC01128:SE01
chr1	851927	852110	184	+	LINC01128	LINC01128:SE02
chr1	852671	852766	96	+	LINC01128	LINC01128:SE03
chr1	931039	931089	51	+	SAMD11	SAMD11:SE01
chr1	939040	939129	90	+	SAMD11	SAMD11:SE02
chr1	943253	943377	125	+	SAMD11	SAMD11:SE03
chr1	966704	966803	100	+	PLEKHN1	PLEKHN1:SE01
chr1	970277	970423	147	+	PLEKHN1	PLEKHN1:SE02
chr1	970521	970601	81	+	PLEKHN1	PLEKHN1:SE03
chr1	972075	972150	76	+	PLEKHN1	PLEKHN1:SE04
chr1	972288	972424	137	+	PLEKHN1	PLEKHN1:SE05
chr1	972861	973010	150	+	PLEKHN1	PLEKHN1:SE06
chr1	973186	973326	141	+	PLEKHN1	PLEKHN1:SE07
chr1	973833	974051	219	+	PLEKHN1	PLEKHN1:SE08
chr1	974316	974364	49	+	PLEKHN1	PLEKHN1:SE09
chr1	1008194	1008279	86	+	ISG15	ISG15:SE01
chr1	1022201	1022462	262	+	AGRN	AGRN:SE01
chr1	1040665	1040880	216	+	AGRN	AGRN:SE02
chr1	1041478	1041702	225	+	AGRN	AGRN:SE03
chr1	1041956	1042162	207	+	AGRN	AGRN:SE04
chr1	1043239	1043457	219	+	AGRN	AGRN:SE05
chr1	1043538	1043732	195	+	AGRN	AGRN:SE06
chr1	1043823	1044023	201	+	AGRN	AGRN:SE07
chr1	1044109	1044257	149	+	AGRN	AGRN:SE08
chr1	1044334	1044439	106	+	AGRN	AGRN:SE09
chr1	1045161	1045277	117	+	AGRN	AGRN:SE10
chr1	1045733	1045876	144	+	AGRN	AGRN:SE11
chr1	1045964	1046088	125	+	AGRN	AGRN:SE12
chr1	1046397	1046735	339	+	AGRN	AGRN:SE13
chr1	1046820	1046957	138	+	AGRN	AGRN:SE14
chr1	1048012	1048365	354	+	AGRN	AGRN:SE15
chr1	1049566	1049795	230	+	AGRN	AGRN:SE16
chr1	1049903	1050037	135	+	AGRN	AGRN:SE17
chr1	1050233	1050329	97	+	AGRN	AGRN:SE18
chr1	1050427	1050591	165	+	AGRN	AGRN:SE19
chr1	1050726	1050837	112	+	AGRN	AGRN:SE20
chr1	1051032	1051043	12	+	AGRN	AGRN:SE21
chr1	1051242	1051369	128	+	AGRN	AGRN:SE22
chr1	1051453	1051645	193	+	AGRN	AGRN:SE23
chr1	1051728	1051815	88	+	AGRN	AGRN:SE24
chr1	1051993	1052016	24	+	AGRN	AGRN:SE25
chr1	1053461	1053493	33	+	AGRN	AGRN:SE26
chr1	1054448	1054551	104	+	AGRN	AGRN:SE27
chr1	1061020	1061117	98	+	ENSG00000217801	ENSG00000217801:SE01
chr1	1063480	1063566	87	+	ENSG00000217801	ENSG00000217801:SE02
chr1	1065352	1065475	124	+	ENSG00000217801	ENSG00000217801:SE03
chr1	1066587	1066667	81	+	ENSG00000217801	ENSG00000217801:SE04
chr1	1067566	1067646	81	+	ENSG00000217801	ENSG00000217801:SE05
chr1	1067869	1068003	135	+	ENSG00000217801	ENSG00000217801:SE06
chr1	1068577	1068724	148	+	ENSG00000217801	ENSG00000217801:SE07
chr1	1174424	1174489	66	+	TTLL10	TTLL10:SE01
chr1	1179189	1179333	145	+	TTLL10	TTLL10:SE02
chr1	1181741	1181815	75	+	TTLL10	TTLL10:SE03
chr1	1182361	1182446	86	+	TTLL10	TTLL10:SE04
chr1	1182876	1183047	172	+	TTLL10	TTLL10:SE05
chr1	1196600	1196716	117	+	TTLL10	TTLL10:SE06
chr1	1197093	1197186	94	+	TTLL10	TTLL10:SE07
chr1	1283978	1284090	113	+	SCNN1D	SCNN1D:SE01
chr1	1285571	1285664	94	+	SCNN1D	SCNN1D:SE02
chr1	1308915	1308972	58	+	PUSL1	PUSL1:SE01
chr1	1326836	1327032	197	+	CPTP	CPTP:SE01
chr1	1452046	1452122	77	+	ATAD3C	ATAD3C:SE01
chr1	1452365	1452434	70	+	ATAD3C	ATAD3C:SE02
chr1	1454345	1454500	156	+	ATAD3C	ATAD3C:SE03
chr1	1455460	1455519	60	+	ATAD3C	ATAD3C:SE04
chr1	1456225	1456349	125	+	ATAD3C	ATAD3C:SE05
chr1	1457129	1457180	52	+	ATAD3C	ATAD3C:SE06
chr1	1459161	1459231	71	+	ATAD3C	ATAD3C:SE07
chr1	1460750	1460917	168	+	ATAD3C	ATAD3C:SE08
chr1	1477274	1477350	77	+	ATAD3B	ATAD3B:SE01
chr1	1516012	1516088	77	+	ATAD3A	ATAD3A:SE01
chr1	1518921	1518990	70	+	ATAD3A	ATAD3A:SE02
chr1	1527161	1527238	78	+	ATAD3A	ATAD3A:SE03
chr1	1623774	1623945	172	+	MIB2	MIB2:SE01
chr1	1624795	1624901	107	+	MIB2	MIB2:SE02
chr1	1624991	1625185	195	+	MIB2	MIB2:SE03
chr1	1625286	1625428	143	+	MIB2	MIB2:SE04
chr1	1626650	1626754	105	+	MIB2	MIB2:SE05
chr1	1626837	1626999	163	+	MIB2	MIB2:SE06
