seqnames	start	end	width	strand	value.group	value.group_name	count
chr1	11869	11869	1	+	5962	DDX11L1	DDX11L1:P01
chr1	12010	12010	1	+	5962	DDX11L1	DDX11L1:P02
chr1	29554	29554	1	+	37759	MIR1302-2HG	MIR1302-2HG:P01
chr1	30267	30267	1	+	37759	MIR1302-2HG	MIR1302-2HG:P02
chr1	30366	30366	1	+	37758	MIR1302-2	MIR1302-2:P01
chr1	52473	52473	1	+	42592	OR4G4P	OR4G4P:P01
chr1	57598	57598	1	+	42588	OR4G11P	OR4G11P:P01
chr1	62949	62949	1	+	42588	OR4G11P	OR4G11P:P02
chr1	65419	65419	1	+	42583	OR4F5	OR4F5:P01
chr1	131025	131025	1	+	4503	CICP27	CICP27:P01
chr1	160446	160446	1	+	12505	ENSG00000241599	ENSG00000241599:P01
chr1	182696	182696	1	+	5965	DDX11L17	DDX11L17:P01
chr1	266855	266855	1	+	25220	ENSG00000286448	ENSG00000286448:P01
chr1	358857	358872	16	+	11745	ENSG00000236601	ENSG00000236601:P01
chr1	360057	360057	1	+	11745	ENSG00000236601	ENSG00000236601:P02
chr1	439870	439870	1	+	58557	WBP1LP7	WBP1LP7:P01
chr1	487101	487101	1	+	4509	CICP7	CICP7:P01
chr1	587629	587668	40	+	11375	ENSG00000235146	ENSG00000235146:P01
chr1	629062	629062	1	+	40358	MTND1P23	MTND1P23:P01
chr1	629640	629640	1	+	40396	MTND2P28	MTND2P28:P01
chr1	631074	631074	1	+	40135	MTCO1P12	MTCO1P12:P01
chr1	632757	632757	1	+	40182	MTCO2P12	MTCO2P12:P01
chr1	633535	633535	1	+	40125	MTATP8P1	MTATP8P1:P01
chr1	633696	633696	1	+	40097	MTATP6P1	MTATP6P1:P01
chr1	634376	634376	1	+	40212	MTCO3P12	MTCO3P12:P01
chr1	674842	674842	1	+	58556	WBP1LP6	WBP1LP6:P01
chr1	722092	722092	1	+	4505	CICP3	CICP3:P01
chr1	760911	760911	1	+	10061	ENSG00000229905	ENSG00000229905:P01
chr1	778747	778849	103	+	35002	LINC01409	LINC01409:P01
chr1	778930	778972	43	+	35002	LINC01409	LINC01409:P02
chr1	781937	781937	1	+	24351	ENSG00000285268	ENSG00000285268:P01
chr1	784370	784396	27	+	35002	LINC01409	LINC01409:P03
chr1	785800	785800	1	+	35002	LINC01409	LINC01409:P04
chr1	803836	803836	1	+	35002	LINC01409	LINC01409:P05
chr1	803934	803934	1	+	35002	LINC01409	LINC01409:P06
chr1	817371	817371	1	+	28643	FAM87B	FAM87B:P01
