seqnames	start	end	width	strand	gene_name	count
chr1	11869	11874	6	+	DDX11L1	DDX11L1:TSS01
chr1	12010	12010	1	+	DDX11L1	DDX11L1:TSS02
chr1	29554	29554	1	+	MIR1302-2HG	MIR1302-2HG:TSS01
chr1	30267	30267	1	+	MIR1302-2HG	MIR1302-2HG:TSS02
chr1	30366	30366	1	+	MIR1302-2	MIR1302-2:TSS01
chr1	52473	52473	1	+	OR4G4P	OR4G4P:TSS01
chr1	57598	57598	1	+	OR4G11P	OR4G11P:TSS01
chr1	62949	62949	1	+	OR4G11P	OR4G11P:TSS02
chr1	65419	65419	1	+	OR4F5	OR4F5:TSS01
chr1	69091	69091	1	+	OR4F5	OR4F5:TSS02
chr1	131025	131025	1	+	CICP27	CICP27:TSS01
chr1	160446	160446	1	+	ENSG00000241599	ENSG00000241599:TSS01
chr1	182388	182388	1	+	LOC102725121	LOC102725121:TSS01
chr1	182696	182696	1	+	DDX11L17	DDX11L17:TSS01
chr1	266855	266855	1	+	ENSG00000286448	ENSG00000286448:TSS01
chr1	358857	358872	16	+	ENSG00000236601	ENSG00000236601:TSS01
chr1	360057	360057	1	+	ENSG00000236601	ENSG00000236601:TSS02
chr1	439870	439870	1	+	WBP1LP7	WBP1LP7:TSS01
chr1	487101	487101	1	+	CICP7	CICP7:TSS01
chr1	587629	587668	40	+	ENSG00000235146	ENSG00000235146:TSS01
chr1	629062	629062	1	+	MTND1P23	MTND1P23:TSS01
chr1	629640	629640	1	+	MTND2P28	MTND2P28:TSS01
chr1	631074	631074	1	+	MTCO1P12	MTCO1P12:TSS01
chr1	632757	632757	1	+	MTCO2P12	MTCO2P12:TSS01
chr1	633535	633535	1	+	MTATP8P1	MTATP8P1:TSS01
chr1	633696	633696	1	+	MTATP6P1	MTATP6P1:TSS01
chr1	634376	634376	1	+	MTCO3P12	MTCO3P12:TSS01
chr1	674842	674842	1	+	WBP1LP6	WBP1LP6:TSS01
chr1	722092	722092	1	+	CICP3	CICP3:TSS01
chr1	760911	760911	1	+	ENSG00000229905	ENSG00000229905:TSS01
chr1	778747	778849	103	+	LINC01409	LINC01409:TSS01
chr1	778930	778972	43	+	LINC01409	LINC01409:TSS02
chr1	781937	781937	1	+	ENSG00000285268	ENSG00000285268:TSS01
chr1	784370	784396	27	+	LINC01409	LINC01409:TSS03
chr1	785800	785800	1	+	LINC01409	LINC01409:TSS04
chr1	803836	803836	1	+	LINC01409	LINC01409:TSS05
chr1	803934	803934	1	+	LINC01409	LINC01409:TSS06
chr1	817371	817371	1	+	FAM87B	FAM87B:TSS01
chr1	825138	825138	1	+	LINC01128	LINC01128:TSS01
chr1	826832	826853	22	+	LINC01128	LINC01128:TSS02
chr1	827591	827693	103	+	LINC01128	LINC01128:TSS03
chr1	827771	827821	51	+	LINC01128	LINC01128:TSS04
chr1	831578	831617	40	+	LINC01128	LINC01128:TSS05
chr1	851348	851348	1	+	LINC01128	LINC01128:TSS06
chr1	860226	860227	2	+	ENSG00000288531	ENSG00000288531:TSS01
chr1	873292	873292	1	+	TUBB8P11	TUBB8P11:TSS01
chr1	904834	904834	1	+	ENSG00000272438	ENSG00000272438:TSS01
chr1	911435	911435	1	+	ENSG00000230699	ENSG00000230699:TSS01
chr1	914171	914171	1	+	ENSG00000241180	ENSG00000241180:TSS01
chr1	923923	923923	1	+	SAMD11	SAMD11:TSS01
chr1	925150	925150	1	+	SAMD11	SAMD11:TSS02
chr1	925731	925731	1	+	SAMD11	SAMD11:TSS03
chr1	925942	925942	1	+	SAMD11	SAMD11:TSS04
chr1	930312	930312	1	+	SAMD11	SAMD11:TSS05
chr1	939275	939275	1	+	SAMD11	SAMD11:TSS06
chr1	940346	940346	1	+	SAMD11	SAMD11:TSS07
chr1	941076	941076	1	+	SAMD11	SAMD11:TSS08
chr1	942103	942103	1	+	SAMD11	SAMD11:TSS09
chr1	942166	942166	1	+	SAMD11	SAMD11:TSS10
chr1	960584	960584	1	+	KLHL17	KLHL17:TSS01
chr1	961449	961449	1	+	KLHL17	KLHL17:TSS02
chr1	962727	962727	1	+	KLHL17	KLHL17:TSS03
chr1	963552	963552	1	+	KLHL17	KLHL17:TSS04
chr1	966482	966502	21	+	PLEKHN1	PLEKHN1:TSS01
chr1	970875	970875	1	+	PLEKHN1	PLEKHN1:TSS02
chr1	973512	973512	1	+	PLEKHN1	PLEKHN1:TSS03
chr1	1001138	1001145	8	+	ISG15	ISG15:TSS01
chr1	1013497	1013497	1	+	ISG15	ISG15:TSS02
chr1	1020120	1020123	4	+	AGRN	AGRN:TSS01
chr1	1033993	1033993	1	+	AGRN	AGRN:TSS02
chr1	1034106	1034106	1	+	AGRN	AGRN:TSS03
chr1	1034867	1034867	1	+	AGRN	AGRN:TSS04
chr1	1045399	1045399	1	+	AGRN	AGRN:TSS05
chr1	1047201	1047201	1	+	AGRN	AGRN:TSS06
chr1	1047475	1047475	1	+	AGRN	AGRN:TSS07
chr1	1048529	1048529	1	+	AGRN	AGRN:TSS08
chr1	1051986	1051986	1	+	AGRN	AGRN:TSS09
chr1	1055033	1055033	1	+	ENSG00000242590	ENSG00000242590:TSS01
chr1	1059687	1059734	48	+	LOC100288175	LOC100288175:TSS01
chr1	1063079	1063079	1	+	ENSG00000217801	ENSG00000217801:TSS01
chr1	1064495	1064518	24	+	ENSG00000217801	ENSG00000217801:TSS02
chr1	1097585	1097585	1	+	ENSG00000285812	ENSG00000285812:TSS01
chr1	1137017	1137017	1	+	LINC01342	LINC01342:TSS01
chr1	1167104	1167104	1	+	MIR200B	MIR200B:TSS01
chr1	1167863	1167863	1	+	MIR200A	MIR200A:TSS01
chr1	1169005	1169005	1	+	MIR429	MIR429:TSS01
chr1	1169357	1169357	1	+	ENSG00000272141	ENSG00000272141:TSS01
chr1	1173880	1173898	19	+	TTLL10	TTLL10:TSS01
chr1	1179681	1179697	17	+	TTLL10	TTLL10:TSS02
chr1	1180484	1180484	1	+	TTLL10	TTLL10:TSS03
chr1	1180537	1180537	1	+	TTLL10	TTLL10:TSS04
chr1	1185036	1185036	1	+	TTLL10	TTLL10:TSS05
chr1	1232237	1232237	1	+	B3GALT6	B3GALT6:TSS01
chr1	1275223	1275237	15	+	LINC01786	LINC01786:TSS01
chr1	1280436	1280472	37	+	SCNN1D	SCNN1D:TSS01
chr1	1280588	1280588	1	+	SCNN1D	SCNN1D:TSS02
chr1	1281224	1281224	1	+	SCNN1D	SCNN1D:TSS03
chr1	1281925	1281925	1	+	SCNN1D	SCNN1D:TSS04
chr1	1282109	1282109	1	+	SCNN1D	SCNN1D:TSS05
chr1	1282164	1282164	1	+	SCNN1D	SCNN1D:TSS06
