seqnames	start	end	width	strand	gene_name	count
chr1	205793	205995	203	-	FAM138D	FAM138D:SE01
chr1	847654	847806	153	+	LINC01128	LINC01128:SE01
chr1	851927	852110	184	+	LINC01128	LINC01128:SE02
chr1	852671	852766	96	+	LINC01128	LINC01128:SE03
chr1	973186	973326	141	+	PLEKHN1	PLEKHN1:SE01
chr1	1022201	1022462	262	+	AGRN	AGRN:SE01
chr1	1051242	1051250	9	+	AGRN	AGRN:SE02
chr1	1051993	1052016	24	+	AGRN	AGRN:SE03
chr1	1053461	1053493	33	+	AGRN	AGRN:SE04
chr1	1090876	1090983	108	-	C1orf159	C1orf159:SE01
chr1	1115022	1115075	54	-	C1orf159	C1orf159:SE02
chr1	1174424	1174489	66	+	TTLL10	TTLL10:SE01
chr1	1179189	1179333	145	+	TTLL10	TTLL10:SE02
chr1	1196600	1196716	117	+	TTLL10	TTLL10:SE03
chr1	1197093	1197186	94	+	TTLL10	TTLL10:SE04
chr1	1264783	1264830	48	-	UBE2J2	UBE2J2:SE01
chr1	1285571	1285664	94	+	SCNN1D	SCNN1D:SE01
chr1	1308915	1308972	58	+	PUSL1	PUSL1:SE01
chr1	1319296	1319524	229	-	INTS11	INTS11:SE01
chr1	1320456	1320529	74	-	INTS11	INTS11:SE02
chr1	1320996	1321093	98	-	INTS11	INTS11:SE03
chr1	1321908	1321984	77	-	INTS11	INTS11:SE04
chr1	1355450	1355752	303	-	MXRA8	MXRA8:SE01
chr1	1387777	1387869	93	-	CCNL2	CCNL2:SE01
chr1	1387954	1388065	112	-	CCNL2	CCNL2:SE02
chr1	1388492	1388510	19	-	CCNL2	CCNL2:SE03
chr1	1388626	1388743	118	-	CCNL2	CCNL2:SE04
chr1	1388950	1389047	98	-	CCNL2	CCNL2:SE05
chr1	1390230	1390371	142	-	CCNL2	CCNL2:SE06
chr1	1390459	1390563	105	-	CCNL2	CCNL2:SE07
chr1	1398597	1398671	75	-	CCNL2	CCNL2:SE08
chr1	1420052	1420592	541	-	ANKRD65	ANKRD65:SE01
chr1	1477274	1477350	77	+	ATAD3B	ATAD3B:SE01
chr1	1623774	1623945	172	+	MIB2	MIB2:SE01
chr1	1624795	1624901	107	+	MIB2	MIB2:SE02
chr1	1624991	1625185	195	+	MIB2	MIB2:SE03
chr1	1625286	1625428	143	+	MIB2	MIB2:SE04
chr1	1626650	1626754	105	+	MIB2	MIB2:SE05
chr1	1626837	1626999	163	+	MIB2	MIB2:SE06
chr1	1627074	1627207	134	+	MIB2	MIB2:SE07
chr1	1627296	1627444	149	+	MIB2	MIB2:SE08
chr1	1627673	1627829	157	+	MIB2	MIB2:SE09
chr1	1628019	1628179	161	+	MIB2	MIB2:SE10
chr1	1628273	1628399	127	+	MIB2	MIB2:SE11
chr1	1628489	1628722	234	+	MIB2	MIB2:SE12
chr1	1629133	1629311	179	+	MIB2	MIB2:SE13
chr1	1629385	1629566	182	+	MIB2	MIB2:SE14
chr1	1629639	1629704	66	+	MIB2	MIB2:SE15
chr1	1633188	1633355	168	+	MMP23A	MMP23A:SE01
chr1	1633748	1633912	165	+	MMP23A	MMP23A:SE02
chr1	1633989	1634099	111	+	MMP23A	MMP23A:SE03
chr1	1634202	1634328	127	+	MMP23A	MMP23A:SE04
chr1	1645126	1645262	137	-	CDK11B	CDK11B:SE01
chr1	1657256	1657302	47	-	CDK11B	CDK11B:SE02
chr1	1690976	1691393	418	-	SLC35E2B	SLC35E2B:SE01
chr1	1700347	1700514	168	+	MMP23A	MMP23A:SE05
chr1	1700907	1701071	165	+	MMP23A	MMP23A:SE06
chr1	1701148	1701258	111	+	MMP23A	MMP23A:SE07
chr1	1701361	1701487	127	+	MMP23A	MMP23A:SE08
chr1	1744251	1744668	418	-	SLC35E2A	SLC35E2A:SE01
chr1	1759101	1759243	143	-	NADK	NADK:SE01
chr1	1759734	1759902	169	-	NADK	NADK:SE02
chr1	1765228	1765446	219	-	NADK	NADK:SE03
chr1	1815756	1815862	107	-	GNB1	GNB1:SE01
chr1	1817837	1817875	39	-	GNB1	GNB1:SE02
chr1	1839190	1839238	49	-	GNB1	GNB1:SE03
chr1	1915685	1915735	51	+	CALML6	CALML6:SE01
chr1	2055441	2055562	122	+	PRKCZ	PRKCZ:SE01
chr1	2056484	2056573	90	+	PRKCZ	PRKCZ:SE02
chr1	2059541	2059591	51	+	PRKCZ	PRKCZ:SE03
chr1	2098347	2098555	209	+	PRKCZ	PRKCZ:SE04
chr1	2181832	2181914	83	+	PRKCZ	PRKCZ:SE05
chr1	2186004	2186249	246	-	FAAP20	FAAP20:SE01
chr1	2186838	2187206	369	-	FAAP20	FAAP20:SE02
chr1	2193998	2194133	136	-	FAAP20	FAAP20:SE03
chr1	2198007	2198142	136	-	FAAP20	FAAP20:SE04
chr1	2206305	2206424	120	-	FAAP20	FAAP20:SE05
chr1	2206515	2206667	153	-	FAAP20	FAAP20:SE06
chr1	2212372	2212458	87	-	FAAP20	FAAP20:SE07
chr1	2324097	2324143	47	-	MORN1	MORN1:SE01
chr1	2336469	2336548	80	-	MORN1	MORN1:SE02
chr1	2336717	2336850	134	-	MORN1	MORN1:SE03
chr1	2357432	2357598	167	-	MORN1	MORN1:SE04
chr1	2358592	2358715	124	-	MORN1	MORN1:SE05
chr1	2372481	2372591	111	-	MORN1	MORN1:SE06
chr1	2374461	2374557	97	-	MORN1	MORN1:SE07
chr1	2379109	2379227	119	-	MORN1	MORN1:SE08
chr1	2389925	2389996	72	-	MORN1	MORN1:SE09
chr1	2561673	2561815	143	+	TNFRSF14	TNFRSF14:SE01
chr1	3060230	3060283	54	-	PRDM16-DT	PRDM16-DT:SE01
chr1	3060501	3060604	104	-	PRDM16-DT	PRDM16-DT:SE02
chr1	3061107	3064055	2949	-	PRDM16-DT	PRDM16-DT:SE03
chr1	3682333	3682430	98	+	TP73	TP73:SE01
chr1	3683060	3683180	121	+	TP73	TP73:SE02
chr1	3730000	3730148	149	+	TP73	TP73:SE03
chr1	3730927	3731065	139	+	TP73	TP73:SE04
chr1	3860420	3860506	87	+	DFFB	DFFB:SE01
chr1	3866284	3866398	115	+	DFFB	DFFB:SE02
chr1	3873014	3873137	124	+	DFFB	DFFB:SE03
chr1	5875954	5876078	125	-	NPHP4	NPHP4:SE01
chr1	5876386	5876523	138	-	NPHP4	NPHP4:SE02
chr1	5879346	5879632	287	-	NPHP4	NPHP4:SE03
chr1	5907115	5907222	108	-	NPHP4	NPHP4:SE04
chr1	5909152	5909213	62	-	NPHP4	NPHP4:SE05
chr1	5952700	5952836	137	-	NPHP4	NPHP4:SE06
chr1	5978270	5978413	144	-	NPHP4	NPHP4:SE07
chr1	5986155	5986327	173	-	NPHP4	NPHP4:SE08
chr1	6040517	6040645	129	+	KCNAB2	KCNAB2:SE01
chr1	6041831	6041872	42	+	KCNAB2	KCNAB2:SE02
chr1	6051511	6051754	244	+	KCNAB2	KCNAB2:SE03
chr1	6091263	6091307	45	+	KCNAB2	KCNAB2:SE04
chr1	6450444	6450470	27	+	ESPN	ESPN:SE01
chr1	6461994	6462174	181	-	TNFRSF25	TNFRSF25:SE01
chr1	6462863	6462970	108	-	TNFRSF25	TNFRSF25:SE02
chr1	6464552	6464719	168	-	TNFRSF25	TNFRSF25:SE03
chr1	6465088	6465222	135	-	TNFRSF25	TNFRSF25:SE04
chr1	6496493	6496569	77	-	PLEKHG5	PLEKHG5:SE01
chr1	6574631	6575392	762	+	TAS1R1	TAS1R1:SE01
chr1	6806983	6807088	106	+	CAMTA1	CAMTA1:SE01
chr1	6820181	6820250	70	+	CAMTA1	CAMTA1:SE02
chr1	6825092	6825210	119	+	CAMTA1	CAMTA1:SE03
chr1	7091304	7091371	68	+	CAMTA1	CAMTA1:SE04
chr1	7249491	7249626	136	+	CAMTA1	CAMTA1:SE05
chr1	7467830	7467901	72	+	CAMTA1	CAMTA1:SE06
chr1	7640400	7640553	154	+	CAMTA1	CAMTA1:SE07
chr1	7661726	7661866	141	+	CAMTA1	CAMTA1:SE08
chr1	7663353	7665199	1847	+	CAMTA1	CAMTA1:SE09
chr1	7670911	7671037	127	+	CAMTA1	CAMTA1:SE10
chr1	7677599	7677733	135	+	CAMTA1	CAMTA1:SE11
chr1	7732448	7732599	152	+	CAMTA1	CAMTA1:SE12
chr1	7736344	7736540	197	+	CAMTA1	CAMTA1:SE13
chr1	7736931	7737009	79	+	CAMTA1	CAMTA1:SE14
chr1	7737255	7737570	316	+	CAMTA1	CAMTA1:SE15
chr1	7744835	7745022	188	+	CAMTA1	CAMTA1:SE16
chr1	7745845	7746091	247	+	CAMTA1	CAMTA1:SE17
chr1	7747710	7747781	72	+	CAMTA1	CAMTA1:SE18
chr1	7749771	7749791	21	+	CAMTA1	CAMTA1:SE19
chr1	7751199	7751392	194	+	CAMTA1	CAMTA1:SE20
chr1	7755638	7755668	31	+	CAMTA1	CAMTA1:SE21
chr1	8465925	8466023	99	-	RERE	RERE:SE01
chr1	8495063	8495162	100	-	RERE	RERE:SE02
chr1	8497405	8497529	125	-	RERE	RERE:SE03
chr1	8508627	8508675	49	-	RERE	RERE:SE04
chr1	8541214	8541318	105	-	RERE	RERE:SE05
chr1	8556475	8556571	97	-	RERE	RERE:SE06
chr1	8557418	8557523	106	-	RERE	RERE:SE07
chr1	8614561	8614686	126	-	RERE	RERE:SE08
chr1	8624310	8624380	71	-	RERE	RERE:SE09
chr1	8655973	8656441	469	-	RERE	RERE:SE10
chr1	8792404	8792588	185	-	RERE	RERE:SE11
chr1	8949263	8949442	180	+	CA6	CA6:SE01
chr1	8957137	8957285	149	+	CA6	CA6:SE02
chr1	9037897	9038024	128	-	SLC2A5	SLC2A5:SE01
chr1	9038431	9038506	76	-	SLC2A5	SLC2A5:SE02
chr1	9038828	9038929	102	-	SLC2A5	SLC2A5:SE03
chr1	9039552	9039662	111	-	SLC2A5	SLC2A5:SE04
chr1	9039800	9039987	188	-	SLC2A5	SLC2A5:SE05
chr1	9047610	9047734	125	-	SLC2A5	SLC2A5:SE06
chr1	9058152	9058250	99	-	SLC2A5	SLC2A5:SE07
chr1	9607557	9607789	233	+	TMEM201	TMEM201:SE01
chr1	9609840	9609911	72	+	TMEM201	TMEM201:SE02
chr1	9610506	9610805	300	+	TMEM201	TMEM201:SE03
chr1	9611753	9611890	138	+	TMEM201	TMEM201:SE04
chr1	9737498	9737554	57	-	CLSTN1	CLSTN1:SE01
chr1	9756481	9756510	30	-	CLSTN1	CLSTN1:SE02
chr1	9883705	9883738	34	-	CTNNBIP1	CTNNBIP1:SE01
chr1	9931891	9931972	82	-	LZIC	LZIC:SE01
chr1	9932803	9932898	96	-	LZIC	LZIC:SE02
chr1	10004093	10004307	215	+	RBP7	RBP7:SE01
chr1	10106197	10106583	387	+	UBE4B	UBE4B:SE01
