seqnames	start	end	width	strand	value.group	value.group_name	count
chr1	11874	11874	1	+	4674	DDX11L1	DDX11L1:P01
chr1	69091	69091	1	+	18082	OR4F5	OR4F5:P01
chr1	182388	182388	1	+	12801	LOC102725121	LOC102725121:P01
chr1	817371	817371	1	+	6294	FAM87B	FAM87B:P01
chr1	827591	827591	1	+	10651	LINC01128	LINC01128:P01
chr1	827798	827798	1	+	10651	LINC01128	LINC01128:P02
chr1	925731	925731	1	+	21532	SAMD11	SAMD11:P01
chr1	960584	960584	1	+	9569	KLHL17	KLHL17:P01
chr1	966482	966482	1	+	19325	PLEKHN1	PLEKHN1:P01
chr1	1013497	1013497	1	+	9033	ISG15	ISG15:P01
chr1	1020120	1020120	1	+	511	AGRN	AGRN:P01
chr1	1033993	1033993	1	+	511	AGRN	AGRN:P02
chr1	1059734	1059734	1	+	12089	LOC100288175	LOC100288175:P01
chr1	1137017	1137017	1	+	10801	LINC01342	LINC01342:P01
chr1	1167104	1167104	1	+	14636	MIR200B	MIR200B:P01
chr1	1167863	1167863	1	+	14635	MIR200A	MIR200A:P01
chr1	1169005	1169005	1	+	15076	MIR429	MIR429:P01
chr1	1173880	1173880	1	+	25800	TTLL10	TTLL10:P01
chr1	1179681	1179681	1	+	25800	TTLL10	TTLL10:P02
chr1	1232237	1232237	1	+	1549	B3GALT6	B3GALT6:P01
chr1	1280436	1280436	1	+	21707	SCNN1D	SCNN1D:P01
chr1	1308580	1308597	18	+	20277	PUSL1	PUSL1:P01
chr1	1324802	1324802	1	+	4052	CPTP	CPTP:P01
chr1	1331280	1331280	1	+	24328	TAS1R3	TAS1R3:P01
chr1	1399530	1399530	1	+	16470	MRPL20-AS1	MRPL20-AS1:P01
chr1	1426128	1426128	1	+	25174	TMEM88B	TMEM88B:P01
chr1	1435690	1435690	1	+	26475	VWA1	VWA1:P01
chr1	1449689	1449689	1	+	1337	ATAD3C	ATAD3C:P01
chr1	1471765	1471765	1	+	1336	ATAD3B	ATAD3B:P01
chr1	1477849	1477849	1	+	1336	ATAD3B	ATAD3B:P02
chr1	1512162	1512162	1	+	1335	ATAD3A	ATAD3A:P01
chr1	1512530	1512530	1	+	1335	ATAD3A	ATAD3A:P02
chr1	1599433	1599433	1	+	13038	LOC105378586	LOC105378586:P01
chr1	1615415	1615415	1	+	14291	MIB2	MIB2:P01
chr1	1615500	1615500	1	+	14291	MIB2	MIB2:P02
chr1	1615855	1615855	1	+	14291	MIB2	MIB2:P03
chr1	1632173	1632173	1	+	16310	MMP23B	MMP23B:P01
chr1	1632780	1632780	1	+	16309	MMP23A	MMP23A:P01
chr1	1699939	1699939	1	+	16309	MMP23A	MMP23A:P02
chr1	1915260	1915260	1	+	2486	CALML6	CALML6:P01
chr1	2019345	2019345	1	+	6967	GABRD	GABRD:P01
chr1	2050411	2050411	1	+	19873	PRKCZ	PRKCZ:P01
chr1	2073462	2073462	1	+	19873	PRKCZ	PRKCZ:P02
chr1	2073986	2073986	1	+	19873	PRKCZ	PRKCZ:P03
chr1	2104716	2104716	1	+	19873	PRKCZ	PRKCZ:P04
chr1	2228319	2228319	1	+	22194	SKI	SKI:P01
